gene_short_name,NIL_6h_FPKM,NIL_12h_FPKM,NIL_24h_FPKM
snR14,26.7802,40.7766,18.7368
SEC3,40.4549,48.2913,39.1021
YER010C,145.668,177.191,139.483
BUD25,60.67,65.9695,70.8417
AFG3,105.815,61.6746,168.557
SPC25,32.1098,14.396,52.8428
SBH2,607.532,524.86,744.324
CHO1,271.119,260.989,277.234
GAL83,78.5851,92.9218,73.9386
MIG3,11.1867,4.5043,17.8935
SMB1,101.978,144.171,65.2973
YPT31,202.328,330.345,94.8841
ZRG8,20.929,17.6544,29.1077
ARB1,199.866,214.91,152.841
KRE29,49.9123,43.9613,70.0492
HVG1,44.4142,34.3401,69.7672
YER039C-A,62.8407,46.9647,93.1123
SAH1,640.305,727.449,251.954
ERG28,334.72,440.582,249.145
MEI4,5.44459,7.70363,4.29479
ACA1,35.0827,48.8211,29.6232
SAP1,70.3326,67.8553,89.9476
CAJ1,155.863,204.122,135.718
RSM18,277.923,330.027,267.632
HOM3,712.542,584.571,874.529
PIC2,100.538,58.0448,182.04
YER053C-A,253.166,201.847,297.719
GIP2,18.0167,20.1588,19.5551
HIS1,2313.33,3824.29,1119.77
FCY2,592.127,692.799,555.443
RPL34A,1085.07,1250.86,362.053
HMF1,413.282,491.794,375.792
CEM1,104.083,109.718,126.049
GPP2,213.112,317.81,152.94
VHR2,41.963,36.4545,56.2674
ICL1,5044.52,82.0545,11968.6
SUP19,0,0,0
TDA2,110.511,95.4334,137.466
PTP3,46.3768,41.0919,60.3291
tA(UGC)E,0,0,0
YER076C,46.3027,37.6087,67.4211
MRX1,37.228,42.3371,37.7112
ICP55,49.9648,61.5577,45.3834
UTP7,68.7515,94.4896,47.86
GET2,161.669,221.684,137.739
YER085C,1.99336,3.02162,1.40751
SBH1,322.734,411.685,218.566
DOT6,82.3208,49.2632,136.557
PTC2,84.7221,96.6467,80.4339
MET6,972.545,696.296,558.45
TSC11,22.0276,14.6979,33.9796
AIM11,75.4781,59.1909,99.6987
PUP3,289.491,286.77,301.291
PRS2,97.6714,91.7488,114.234
AST2,34.2948,21.2477,53.9345
NUP157,48.7877,54.3517,50.6557
GLE2,52.9101,49.9213,55.6371
FLO8,19.0643,21.1052,19.9937
KAP123,104.533,105.024,95.631
SWI4,24.2203,26.8018,24.9162
TMN3,28.8272,27.9862,27.401
BOI2,29.6605,26.3525,36.6114
SPR6,29.0165,26.5221,32.9556
SLX8,39.2564,32.7916,54.4091
SHO1,64.293,51.2054,72.2915
AVT6,85.9521,55.5598,140.809
GLO3,221.531,239.548,226.185
DSE1,96.728,163.555,37.6148
NSA2,230.287,371.387,94.6573
COM2,43.3222,53.8771,37.5923
PMD1,16.7092,22.3813,13.7268
snR52,0,0,0
tH(GUG)E2,0,0,0
tK(CUU)E2,0,0,0
YER134C,167.048,231.355,124.664
