gene_short_name,NIL_6h_FPKM,NIL_12h_FPKM,NIL_24h_FPKM
SPG3,86.6028,56.7413,141.701
PSP1,91.4215,55.3178,147.951
GMC1,26.0099,30.239,26.1569
-,0,0,0
GIN4,50.3043,62.0972,40.8625
GNP1,209.244,117.494,286.603
YDR510C-A,141.529,168.724,121.559
EMI1,107.715,94.1424,143.278
YDR514C,16.5506,8.4768,19.4106
EMI2,106.601,75.4679,168.444
URC2,32.65,29.0289,44.1583
SPS2,6.71096,6.43736,8.41688
SPS1,21.7812,44.8757,4.17729
AGE1,79.1358,61.3486,111.981
YDR524C-B,4840.6,6714,2050.69
YDR524C-A,0,0,0
YDR526C,1.624,0.91179,1.91235
SNR84,40.752,36.339,51.153
QCR7,2667.24,1316.83,4659.62
APA2,124.24,115.976,166.649
KRE28,60.9015,72.5646,60.9684
HSP31,258.381,358.056,173.933
YDR535C,4.32059,1.73689,8.12055
YDR537C,33.9054,22.58,50.0606
IRC4,57.4075,79.2691,47.6146
YDR541C,40.9942,46.0486,36.5864
RPN9,381.48,464.528,353.428
YDR431W,8.48228,6.05766,13.0862
NPL3,337.63,425.517,270.581
YDR433W,56.5608,74.2426,44.9651
GPI17,97.6941,123.744,82.1629
PPZ2,37.6378,20.555,62.4894
GPI19,33.4896,28.9762,46.4084
THI74,37.6725,32.9717,48.0634
LRS4,36.3087,41.602,34.4403
DOT1,38.3542,45.1598,32.8244
YDR442W,1.15468,1.08133,0.840093
YDR444W,25.283,9.91183,42.4586
BNA7,38.6399,38.5846,38.1757
TIF35,280.906,374.726,128.488
CYM1,41.1985,31.2601,52.9086
PPM1,101.342,93.9991,138.576
APT2,69.1764,41.6145,88.5486
SSN2,16.7476,14.4246,22.0727
YDR445C,45.5278,13.9619,91.0892
RPS18A,1160.02,889.835,419.335
PPN1,198.077,231.526,198.004
NHX1,92.4806,80.7453,118.838
TOM1,21.0749,15.7948,28.1878
UTP6,64.3444,92.8317,34.0972
YHP1,40.8637,47.9397,32.8103
TSA2,30.4726,19.4585,47.9794
GUK1,339.683,436.497,194.844
YDR455C,17.0714,12.5756,24.9667
HEH2,65.9622,76.2999,65.5597
PFA5,58.6637,64.5688,62.439
ECM11,5.90304,11.6475,2.14614
ADA2,20.8742,20.9454,21.7602
RPS17B,741.593,641.598,259.236
YDL247W-A,0,0,0
MPH3,57.9189,28.8161,108.096
SOR1,26.2871,25.6257,28.0382
HXT16,39.1367,28.189,59.1177
YJR157W,6.98805,2.74234,13.3122
NAF1,149.829,210.84,112.99
NMA111,119.236,116.557,139.914
NCS2,79.691,87.3785,79.4646
MLS1,2403.64,8.68062,5679.24
DMA2,103.476,119.296,113.68
RPC19,257.356,404.994,98.9424
YNL122C,138.545,152.423,134.088
TOM70,233.247,271.805,212.28
YNL120C,0.0349188,0.0664291,0
DCP2,123.894,114.548,156.232
YNL115C,123.706,89.1176,196.303
YNL114C,84.3639,106.567,45.1851
SHS1,104.486,133.794,88.2743
YDL221W,15.8492,6.50199,28.167
DTD1,125.602,197.968,62.0198
YDL218W,10.3341,9.27815,12.437
SHR3,340.329,454.823,215.584
-,0,0,0
UGA4,9.07013,5.39214,15.1031
NHP2,486.057,652.85,177.693
GLE1,88.598,83.8101,110.626
YDL206W,40.1864,30.0919,58.3682
RTN2,65.7903,40.015,110.101
MRPL11,78.7294,73.3023,76.2869
TRM8,77.2908,94.3184,51.742
YDL196W,21.5367,5.90727,44.5364
SEC31,142.216,141.364,162.521
SNF3,31.4831,6.67114,66.3797
NUS1,58.9794,48.2675,77.8905
ARF1,409.365,398.348,163.553
RPL35A,810.741,746.532,241.869
RBS1,78.3076,95.2591,65.0744
HO,34.9366,45.7384,4.50693
GCS1,118.5,144.896,95.7386
WHI4,98.7267,93.0473,125.495
HBT1,37.4894,21.833,62.4476
FMP45,52.2645,10.331,114.32
CDC13,11.1754,4.77831,19.2605
TIM22,80.3285,86.091,73.9725
RRI1,34.6879,39.3711,38.9956
GDH2,437.453,71.4514,972.872
PRR2,47.576,29.5488,81.8988
NOP6,171.924,189.348,145.352
YDL211C,21.6039,25.1142,19.223
CWC2,23.873,27.0013,21.2313
HEM3,51.2012,32.5652,66.9917
ACK1,46.9891,45.2588,54.2199
MGT1,105.147,87.7213,152.37
YDL199C,116.859,29.022,248.912
GGC1,1234.64,2008.99,752.802
ASF2,46.3725,24.5455,76.7706
UFD2,85.4888,87.9601,99.2936
YDL241W,121.421,177.775,81.2649
LRG1,18.215,22.6549,14.3703
AIM6,128.334,114.489,169.813
PHO13,132.404,186.637,69.2325
MFG1,38.4537,41.5774,43.8481
OST4,1246.53,2037.26,621.12
PTP1,58.0542,56.887,67.8793
YDL240C-A,0.924608,0,1.61641
ADY3,17.5274,7.54718,32.1632
GUD1,15.1759,12.5238,22.4691
YPD1,325.514,516.35,178.474
GYP7,97.0307,80.2382,140.084
BRE4,49.6317,36.3084,70.8227
VBA5,22.8931,15.6252,34.8808
YCR102W-A,27.5445,14.3741,47.9886
YOL085W-A,20.1478,5.55681,38.8771
PHM7,73.5628,13.5211,161.128
ATG34,34.45,18.0559,61.2396
ATG19,179.565,225.125,182.412
IRA2,16.0481,6.16098,30.7371
YOL079W,61.9505,69.3745,36.2215
AVO1,13.4623,11.4624,16.6683
ATP19,3699.79,1376.18,6971.64
MDM20,51.081,65.5087,43.1899
THP1,45.3177,50.9507,45.6257
EMI5,161.971,146.045,206.524
NUF2,22.6141,27.6041,20.8045
PRS5,138.603,160.241,111.669
YOL085C,8.96393,4.17942,18.0922
YOL083C-A,52.9576,33.3421,88.1218
REX4,20.4175,23.649,10.0083
BRX1,219.842,310.876,103.842
YOL075C,14.8226,12.2025,20.3049
YOL073C,64.4509,55.5702,85.8142
NBA1,99.1317,116.743,95.0391
HST1,141.921,131.798,173.896
RTG1,69.4318,50.4817,99.0328
RIB2,53.1591,67.2426,42.9992
INP54,37.0751,32.794,46.7341
MET22,564.077,784.715,355.37
CRT10,40,43.483,43.8471
APM4,61.4802,51.961,64.7004
MAM3,98.7745,62.3428,155.639
YPR204C-A,191.406,18.6227,175.021
YPR204C-A,1133.67,573.049,2003.67
YOL155W-A,16.1858,13.825,17.6552
ZPS1,73.0189,63.3268,93.018
FRE7,14.7699,11.9651,19.43
GRE2,100.93,131.558,52.5584
DCP1,99.1623,136.351,58.6467
PSF3,72.8377,80.1243,68.025
NOP8,45.6479,56.5354,37.3232
RRP40,217.145,300.122,162.564
PPM2,6.36286,5.67922,7.30834
ARG8,428.292,682.276,258.517
BSC6,58.1442,70.2053,55.2668
HRT1,233.348,335.689,174.327
GAS4,9.41797,11.3833,8.74838
YOL131W,4.07433,1.49831,7.16866
ALR1,55.0919,48.1013,64.3821
VPS68,517.066,602.032,558.843
RPL25,2352.67,2074.58,708.17
TRM13,99.6485,67.1296,159.584
HRP1,146.103,136.005,134.311
RRI2,37.0971,43.9047,39.9152
MSN1,58.8376,54.5099,74.6888
PAP2,43.8379,51.2746,33.286
SKM1,75.545,86.0657,82.6865
MSB4,95.0126,107.59,102.415
SHR5,69.9448,28.2668,129.379
ZEO1,2469.82,2617.53,2119.21
YOL107W,74.8171,91.5504,74.4298
YOL106W,5.70579,2.63157,9.3909
-,0,0,0
ITR2,68.691,79.9683,55.5559
PKH2,43.3719,33.8991,63.922
YOL097W-A,6.14646,9.18054,3.37779
TRM10,54.0887,64.5897,38.0159
YOL092W,253.842,328.548,199.388
SPO21,50.768,85.8414,28.8113
MSH2,41.6058,51.7414,34.282
MHF1,171.736,237.039,125.255
YOL153C,33.2238,10.234,67.4653
YOL150C,93.4856,133.808,50.1564
SPT20,64.0165,87.8187,45.6486
PEX11,193.071,142.342,258.821
CTR9,76.2819,92.5947,68.3475
RIB4,1315.82,2489.88,327.702
CDC33,624.567,746.804,370.027
RTC1,22.4683,16.3815,33.0622
PFK27,52.6606,79.2578,22.3943
MED7,94.4247,122.5,79.6582
YOL134C,1.50371,0.947515,1.83727
YGK3,26.83,32.6677,24.3993
MDH2,976.635,310.794,2032.12
TRM11,37.9863,26.5428,33.723
SMF1,64.4154,27.4312,111.668
RPS19A,647.539,582.277,181.327
RPL18A,1663.29,1293.04,437.803
MCH4,637.201,601.961,858.69
YOL118C,466.893,565.991,516.611
YOL114C,33.4115,32.9718,44.4884
MDY2,132.521,95.0002,194.14
SUF1,0,0,0
INO4,123.977,118.054,152.209
WSC3,37.9505,32.575,50.4276
NDJ1,1.21698,1.00807,1.74989
TPT1,87.4988,105.571,83.1081
IZH4,12.6341,9.62083,19.6842
YOL099C,152.783,135.892,214.713
YOL098C,67.6376,76.4705,60.5275
SNR58,0,0,0
WRS1,183.259,226.654,103.739
COQ3,42.4988,47.4697,42.2513
HMI1,21.7649,25.9635,19.3445
RFC4,44.3769,60.4867,25.0565
HAL9,30.5687,29.7315,37.4469
MPD2,132.385,138.149,150.066
DUF1,30.744,15.3183,50.011
RLM1,68.722,95.0188,55.2122
YPL088W,57.4326,89.1358,36.7779
YDC1,105.133,97.4438,135.259
ELP3,67.0992,74.3313,52.7327
-,0,0,0
MNT3,54.7972,55.6156,64.2125
YIL012W,5.86405,5.57323,7.37435
TIR3,141.643,274.772,32.2859
DOT5,131.434,130.999,160.181
YIL014C-A,254.684,284.115,272.618
PDR11,21.4817,18.4084,28.355
EST3,245.747,385.068,152.368
-,0,0,0
YIR020W-A,3.85829,2.09068,6.41899
PWR1,3.7906,2.16927,6.54581
MRS1,24.6795,25.8036,18.1982
YIR021W-A,2.0046,2.22624,2.08646
SEC11,219.926,278.784,177.963
DAL81,36.1055,42.4759,32.661
MND2,45.1439,49.3362,48.2468
DAL4,13.4427,7.89884,22.4183
DAL2,49.1425,36.358,76.3831
YIR030W-A,2.88958,2.25322,1.95023
MGA2,26.4072,17.7753,39.0484
YIR036W-A,82.4946,73.4919,112.014
HYR1,273.5,312.754,257.867
YIR020C,4.39091,2.58443,7.08095
YIR020C,2.62328,2.24374,2.26856
YIR020C-B,1.02306,0.165659,0.564144
YIR023C-A,101.224,120.569,95.9402
YIR024C,55.4936,63.9502,51.5769
YVH1,97.7238,146.14,52.471
DAL1,13.2548,9.9854,20.3183
DCG1,25.5688,32.682,17.7113
DAL7,34.94,46.1469,27.996
DAL3,29.7316,38.2176,29.6263
