Name,batchEntId,parentBoxPlateId,parentBoxPlateName,parentBoxPlatePos,volume,Concentration (ng/ul)
VIAL21269,seq_VYMXMTP6,box_8AFyZMWE,l5,e5,100.0,20
VIAL21270,seq_OMlhdylv,box_8AFyZMWE,l5,e6,100.0,30
VIAL21271,seq_PZLMZfCk,box_8AFyZMWE,l5,e7,100.0,35
VIAL21272,seq_Y8ADKjKW,box_8AFyZMWE,l5,e8,100.0,35
VIAL21273,seq_0MCSVCHD,box_8AFyZMWE,l5,e9,100.0,40
VIAL21274,seq_R0MpnI99,box_8AFyZMWE,l5,f1,100.0,30
VIAL21275,seq_U7DJp1qU,box_8AFyZMWE,l5,f2,100.0,15
VIAL21276,seq_Y3siMPpq,box_8AFyZMWE,l5,f3,100.0,10
VIAL21277,seq_ZSh58li2,box_8AFyZMWE,l5,f4,100.0,10
VIAL21278,seq_jNzhADho,box_8AFyZMWE,l5,f5,100.0,20
VIAL21279,seq_hNkacsol,box_8AFyZMWE,l5,f6,100.0,30
VIAL21280,seq_EKP05e2F,box_8AFyZMWE,l5,f7,100.0,30
VIAL21281,seq_U1Mddzk7,box_8AFyZMWE,l5,f8,100.0,35
VIAL21282,seq_otoWzldx,box_8AFyZMWE,l5,f9,100.0,25
VIAL21283,seq_GVGWRbxJ,box_8AFyZMWE,l5,g1,100.0,25
VIAL21284,seq_4jpoULwv,box_8AFyZMWE,l5,g2,100.0,30
VIAL21285,seq_M8QV2osc,box_8AFyZMWE,l5,g3,100.0,30
VIAL21286,seq_3V4rc6em,box_8AFyZMWE,l5,g4,100.0,25
VIAL21287,seq_yOM6O9dJ,box_8AFyZMWE,l5,g5,100.0,25
VIAL21288,seq_LQX9oGQN,box_8AFyZMWE,l5,g6,100.0,25
VIAL21289,seq_E5FcOlRr,box_8AFyZMWE,l5,g7,100.0,30
VIAL21290,seq_RrzcSP1d,box_8AFyZMWE,l5,g8,100.0,20
VIAL21291,seq_cp3U9VhO,box_8AFyZMWE,l5,g9,100.0,30
VIAL21292,seq_qx5JJz2W,box_8AFyZMWE,l5,h1,100.0,30
